date,model,predicted_close,predicted_log_return
2025-12-01,rnn,3990.974650041434,0.0010190015290686832
2025-12-02,rnn,3995.073025447097,0.0010263839966878907
2025-12-03,rnn,3999.1956929798284,0.0010314058842436774
2025-12-04,rnn,4003.298461452227,0.001025372528287008
2025-12-05,rnn,4007.3555744026526,0.0010129293511261517
2025-12-01,transformer,3990.4734656022943,0.0008934141838809473
2025-12-02,transformer,3994.1483951034147,0.0009205018909394513
2025-12-03,transformer,3997.7955408327343,0.0009127055974709475
2025-12-04,transformer,4001.3894882775735,0.0008985784610771874
2025-12-05,transformer,4004.9224626733453,0.0008825473318383459
2025-12-01,hybrid,3990.7696082520056,0.0009676238394712849
2025-12-02,hybrid,3994.639107065349,0.0009691424081490346
2025-12-03,hybrid,3998.509032666032,0.0009683108170672611
2025-12-04,hybrid,4002.367099678726,0.000964411208948926
2025-12-05,hybrid,4006.20707695961,0.0009589666001624669
